nibs-gsin,bpr-opi,gsin-description_en,gsin-description_fr,bpr-opi-url_en,bpr-opi-url_fr,gsin-code-status_en,gsin-code-status_fr
JX3610A,"[""VAN""]","Duplicating Equipment - Repair and Overhaul","Équipement de duplication - réparation et révision","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
JX3610AA,"[""VAN""]","Photocopying Machines and Accessories - Repair","Machines à photocopier et accessoires - réparation","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
JX7830,"[""VAN""]","Recreational and Gymnastic Equipment - Repair","Équipements de divertissement et de gymnastique - réparation","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
JX7830B,"[""VAN""]","Recreational Bowling Alleys - Repair","Divertissement, boulodrome - réparation","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N3610BE,"[""VAN""]","Photocopying Machines and Accessories","Machines à photocopier et accessoires","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N3610BEC,"[""VAN""]","Photocopier Control/Audit System","Machine à photocopier, système de commande et contrôle","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N3610BED,"[""VAN""]","Photocopying Machines, Laser-Intelligent Copier","Machines à photocopier, duplicateur intelligent au laser","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N3610BEL,"[""VAN""]","Photocopying Machines, Full Colour","Machines à photocopier, tout en couleur","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7025095,"[""VAN""]","PRINTERS PAGE COLOUR","Imprimante page par page couleur","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7025099,"[""VAN""]","PRINTERS, PAGE, LASER","Imprimantes page par page, laser","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7025101,"[""VAN""]","PRINTERS, LINE (BAND, CHAIN, DRUM, TRAIN, ETC.)","Imprimantes ligne par ligne, à bande, à chaîne, à tambour, à train, etc.","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7025102,"[""VAN""]","PRINTERS, IMPACT DOT MATRIX","Imprimantes, par point impact","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7025104,"[""VAN""]","PRINTERS, INK JET","Imprimantes, à jet d'encre","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7025105,"[""VAN""]","PRINTERS INK JET COLOUR","Imprimante couleur à jet d'encre","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7025090,"[""VAN""]","PRINTERS, BAR CODE","Imprimantes, code à barre","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7025130,"[""VAN""]","PLOTTERS, ON LINE","Traceurs, en circuit","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7025134,"[""VAN""]","Scanners, Document","Scanneurs, document","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7035190,"[""VAN""]","PLOTTERS (STAND ALONE)","Traceurs autonomes","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7830A,"[""VAN""]","Gymnasium Equipment","Équipement de gymnase","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7830B,"[""VAN""]","Mats, Gymnasium","Carpettes, gymnase","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7830C,"[""VAN""]","Playground Equipment","Équipement de terrain de jeu","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7830E,"[""VAN""]","THEATRICAL EQUIPMENT AND SUPPLIES","Équipement et fournitures théâtraux","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7830H,"[""VAN""]","Racks, Bicycle","Supports, bicyclettes","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7830J,"[""VAN""]","VEHICLE, SURFACE MAINTENANCE, ICE, SELF-PROPELLED, RIDE-ON","Véhicule, pour entretien de surface en glace automoteur, avec selle","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7830K,"[""VAN""]","Swimming Pools and Hot Tubs (Spas)","Piscines et cuves thermales (spas)","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7830,"[""VAN""]","Recreational and Gymnastic Equipment","Équipements de divertissement et de gymnastique","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7045126,"[""VAN""]","Toner, Cartridge, Virgin, for various types of Printers and Facsimile Machines","Cartouche de toner neuve, pour divers types d'imprimantes et de télécopieurs","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7045127,"[""VAN""]","Toner, Cartridge, Remanufactured, for various types of Printers and Facsimile Machines","Cartouche de toner remise à neuf, pour divers types d'imprimantes et de télécopieurs","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
WL3610,"[""VAN""]","PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING","Équipement d'impression, de duplication et de reliure - location","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
WL3610AA,"[""VAN""]","PHOTOCOPYING MACHINES - LEASE","Machines à photocopier - location à bail","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
WL3610AB,"[""VAN""]","Photocopyng Machines, N.E.S. - Lease","Machines à photocopier, location à bail","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
WL3610AD,"[""VAN""]","PHOTOCOPING MACHINES, LIBRARY BOOK - LEASE","Machines à photocopieur, reproduction de livres de bibliothèque  - location à bail","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
WL3610AE,"[""VAN""]","PHOTOCOPYING MACHINES, ENGINEERING - LEASE","Machines à photocopier, ingénierie - location à bail","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
WL3610AF,"[""VAN""]","PHOTOCOPYING MACHINES, LASER, INTELLIGENT COPIER - LEASE","Machines à photocopier, duplicateur intelligent au laser - location à bail","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
WL3610B,"[""VAN""]","PHOTOCOPYING MACHINES, FULL COLOUR - LEASE","Machines à photocopier, tout en couleur - location à bail","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
WL3610C,"[""VAN""]","Digital Photocopiers, Printers and Multifunctional Devices (MFDs) - Lease","Photocopieurs numériques, imprimantes et appareils multifonctionnels (AMF) - Location","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
WL7025AJ,"[""VAN""]","PRINTERS, PAGE, LASER - LEASE","Imprimantes page par page à laser - location à bail","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
WR3610,"[""VAN""]","PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT - RENTAL","Équipement d'impression, de duplication et de reliure - location","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
WR3610A,"[""VAN""]","COPYING MACHINE, DIAZO PROCESS (WHITE PRINTER) - RENTAL","Duplicateur, procédé diazo (imprimante sur blanc) - location","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
WR3610AA,"[""VAN""]","PHOTOCOPYING MACHINES AND ACCESSORIES - RENTAL","Machines et accessoires à photocopie - location","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
WR3610AB,"[""VAN""]","Photocopying Machine, N.E.S. - Rent","Machines à photocopier, location","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
WR3610AC,"[""VAN""]","PHOTOCOPIER CONTROL/AUDIT SYSTEM - RENT","Machine à photocopier, système de commande et contrôle - location","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
WR7025B,"[""VAN""]","PRINTERS, PAGE, OTHER (ION, ELECTROSTATIC, ETC.) - RENT","Imprimantes page par page, autres, ioniques, électrostatiques,  etc. - location","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
WR7035AN,"[""VAN""]","PLOTTERS (STAND ALONE) - RENT","Traceurs autonomes - location","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
WR7830,"[""VAN""]","RECREATIONAL AND GYMNASTIC EQUIPMENT - RENTAL","Équipements de divertissement et de gymnastique - location","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
R122C,"[""VAN""]","Managed Print Services","Service de gestion de l'impression - Consultation","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
JX5810,"[""QD""]","Communications Security Equipment and Components - Repair","Équipement de sécurité des télécommunications et composants - réparation","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
JX5811,"[""QD""]","Other Cryptologic Equipment and Components - Repair","Autres équipements cryptographiques et composants - réparation","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N1830999,"[""QD""]","Space Vehicle Remote Control Systems Electrical and Electronic Components and Spares","Systèmes commande à distance des véhicules spatiaux, composants rechanges électriques et électroniques","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N5805039,"[""QD""]","Telephone Central Offices, Dial, Manufacture to Drawings","Centrales téléphoniques, automatiques, fabrication conforme aux plans","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N5805050,"[""QD""]","Telephone System, Transportable","Système téléphonique transportable","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N5805051,"[""QD""]","Telephone Systems, Sound Powered","Systèmes téléphoniques, autogénérateurs","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N5805060,"[""QD""]","Telephone System, Transportable, Voice/Data Channel Multiplexers, Low Capacity","Système téléphonique transportable, multiplexeurs des voies téléphoniques/de données, faible capacité","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N5805993,"[""QD""]","Repeater Telegraph Electrical and Electronic Components and Spares","Répéteur télégraphique, composants et rechanges électriques et électroniques","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N5805998,"[""QD""]","Telephone and Telegraph Tactical, Operational and Special Application Systems, Including Ground and Ship Communication Systems and Systems Installation","Systèmes téléphonique et télégraphique, tactiques, opérationnels et spéciaux, comprenant les systèmes de communication terre/mer et installation des systèmes","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N5805098,"[""QD""]","Switching Systems, Special Design","Systèmes de commutation, modèle spécial","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N5805118,"[""QD""]","Terminals, Telephone and Telegraph Equipment, Special Design","Terminaux, équipements téléphonique et télégraphique, modèle spécial","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N5805119,"[""QD""]","Terminals, Telephone Telegraph Equipment Miscellaneous","Terminaux, équipements téléphonique et télégraphique, divers","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
WL5810,"[""QD""]","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS - LEASING","Équipement de sécurité des télécommunications et composants  -  location à bail","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dDCD-DCD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
