nibs-gsin,bpr-opi,gsin-description_en,gsin-description_fr,bpr-opi-url_en,bpr-opi-url_fr,gsin-code-status_en,gsin-code-status_fr
JX6620,"[""BY""]","Engine Instruments - Repair","Instruments de moteurs - réparation","[""http:\/\/geds\/cgi-bin\/direct500\/eng\/XEou%3dMLAD-DALM%2cou%3dAEPD-DP%c9A%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dMLAD-DALM%2cou%3dAEPD-DP%c9A%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
JX6910,"[""QF""]","Training Aids - Repair","Accessoires d'instruction - réparation","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dESDSD-DSESSD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dESDSD-DSESSD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
JX6930,"[""BQ""]","Operation Training Devices - Repair","Appareils d'instruction opérationnels - réparation","[""http:\/\/geds\/cgi-bin\/direct500\/eng\/XEou%3dMAD-DAM%2cou%3dAEPD-DP%c9A%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dMAD-DAM%2cou%3dAEPD-DP%c9A%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
JX6720,"[""PV""]","Cameras, Still Picture - Repair","Appareils photographiques - réparation","[""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dSMPD-D%c9SPMP%2cou%3dCCPD-DPCC%2cou%3dCASMS-SACGA%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
JX9999,"[""RH""]","Miscellaneous Items - Repairs","Articles divers - réparation","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts\/pwgsc-regional-offices""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc""]",Active,Actif
N1420,"[""BK"",""QF""]","Guided Missile Components","Composants de missiles","[""http:\/\/geds\/cgi-bin\/direct500\/eng\/XEou%3dMWSD-DMSA%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA"",""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dESDSD-DSESSD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dMWSD-DMSA%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA"",""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dESDSD-DSESSD%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N1398,"[""BK""]","Specialized Ammunition Handling and Servicing Equipment","Équipement spécialisé de manutention et de mise en oeuvre de munitions","[""http:\/\/geds\/cgi-bin\/direct500\/eng\/XEou%3dMWSD-DMSA%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dMWSD-DMSA%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N1398B,"[""BK""]","Specialized Ammunition Handling Equipment - Pallets","Équipement spécialisé de manutention de munitions - palettes","[""http:\/\/geds\/cgi-bin\/direct500\/eng\/XEou%3dMWSD-DMSA%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dMWSD-DMSA%2cou%3dEMTSPD-DASEMST%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N1710,"[""BB"",""ML""]","Aircraft Landing Equipment","Équipement d'atterrissage pour aéronefs","[""http:\/\/geds\/cgi-bin\/direct500\/eng\/XEou%3dFTD-DACE%2cou%3dAEPD-DP%c9A%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA"",""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dMLSD-DMSM%2cou%3dMSD-DSM%2cou%3dMS-SM%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dFTD-DACE%2cou%3dAEPD-DP%c9A%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA"",""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dMLSD-DMSM%2cou%3dMSD-DSM%2cou%3dMS-SM%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
N1710A,"[""BB"",""ML""]","Aircraft Arresting Barrier and Barricade Equipment, N.E.S.","Équipement de freinage et d'arrêt des aéronefs, barrières d'arrêt, N.E.A.","[""http:\/\/geds\/cgi-bin\/direct500\/eng\/XEou%3dFTD-DACE%2cou%3dAEPD-DP%c9A%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA"",""http:\/\/www.geds.gc.ca\/cgi-bin\/direct500\/eng\/XEou%3dMLSD-DMSM%2cou%3dMSD-DSM%2cou%3dMS-SM%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]","[""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dFTD-DACE%2cou%3dAEPD-DP%c9A%2cou%3dDMPS-SPDGP%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA"",""http:\/\/sage-geds.gc.ca\/cgi-bin\/direct500\/fra\/XFou%3dMLSD-DMSM%2cou%3dMSD-DSM%2cou%3dMS-SM%2cou%3dACQB-DGA%2cou%3dPWGSC-TPSGC%2co%3dGC%2cc%3dCA""]",Active,Actif
